id;reference;titre;original;auteurs;arrangement;lien;ton;tempo;status
;GRA-001v02;Grâce Infinie;Amazing grace;John NEWTON;M.W. SMITH - J. ADELE;;D ;66;actif
;HOS-001v02;Hosanna;Hosanna;Paul BALOCHE;The Writer's Collection;;G ;114;actif
;HOS-002v01;Hosanna;Hosanna;Luc DUMONT;;;E ;148;actif
;HOS-003V01;Hosanna;Hosanna;Hillsong;;;C#m ;77;actif
;ILE-001v01;Il est exalté;He is exalted;Twila PARIS;;;G ;;actif
;ILM-001v01;Il m'aime;-;Judith SCHNEGG;Jurassic Praise;;G ;126;actif
;ILV-001v01;Il vit à jamais;;T. COTTREL / S.C. SMITH / D. MOFFIT;;;Bb-C ;96;actif
;ILV-001v02;Il vit à jamais;;T. COTTREL / S.C. SMITH / D. MOFFIT;;;Bb-C ;96;actif
;ILY-001v01;Il y a de la joie;-;Nicolas TERNISIEN;;;A ;112;actif
;INF-001v01;Infiniment grand;-;Sébastien CORN;;;C ;76;actif
;INF-001v02;Infiniment grand;-;Sébastien CORN;;;A ;76;actif
;JAM-001v01;Jamais tu ne m'abandonnes;You never let go;Matt REDMAN;;;B ;80;actif
;JAM-001v02;Jamais tu ne m'abandonnes;You never let go;Matt REDMAN;;;B ;80;actif
;JEC-001v01;Je chanterai gloire;;JTM;JTM;;Em;;actif
;JEL-001v02;Je loue ton nom Eternel;Lord I lift your name on high;Rick FOUNDS;Josué ADELE;;F ;104;actif
;JEL-005v02;Je louerai ton saint nom;;Luc DUMONT;;;E ;66;actif
;JEN-001v01;J'entre dans tes portes;-;Mady RAMOS;Guillaume REYNAUD;;E;;actif
;JER-001v01;Je reviens au coeur;When the music fades;Matt REDMAN;Paje Connexion;;Eb ;75;actif
;JER-001v02;Je reviens au coeur;When the music fades;Matt REDMAN;Paje Connexion;;Eb ;75;actif
;JES-001v01;Jésus Tu es là;;Philippe DECOUROUX;;;D;;actif
;JES-006v02;Jésus nous te couronnons;;Paul KYLE;;;G ;75;actif
;JES-007v02;Je suis le chemin;;Josué ADELE;Josué ADELE;;F ;100;actif
;JES-009v01;Jésus est Seigneur;;R. PINK;PAJE 2010;;F#m ;145;actif
;JES-009v02;Jésus est Seigneur;;R. PINK;PAJE 2010;;F#m ;145;actif
;JES-010v01;Jésus nous célébrons;;J. GIBSON;Josué ADELE;;G ;155;actif
;JES-011v01;Jésus, c’est le plus beau nom;;Naida Hearn;Guillaume REYNAUD;;F ;50;actif
;JES-012v01;Je suis libre;I am free;Jon Egan;;;D;;actif
;JES-013v01;Jésus je t’aime;;Micael FOLLAIN;;;E ;120;actif
;JES-014v01;Jésus le chemin;One way;J. DOUGLASS / J. HOUSTON;;;B ;140;actif
;JES-015v01;Je sais qui je suis;I know who I am;I. HOUGHTON;;;F ;140;actif
;JES-017v01;Je sais qu'un jour;;Inconnu;Héritage - Demrey;;E ;78;actif
;JET-001v02;Je te donne Tout;;Luc DUMONT;;;D;;actif
;JET-004v01;Je te suivrai;-;Stephane QUERY;;;C;;actif
;JEV-001v01;Je veux vivre;;Pascal ROGER;PAJE 2007;;G;;actif
;JEV-001v02;Je veux vivre;;Pascal ROGER;PAJE 2007;;G;;actif
;JEV-003v01;Je viens dans ta maison;-;André et Lynne-Marie FAVREAU;;;D ;114;actif
;JEV-004v01;Je vais de l'avant;;Sandra CLARK;-;;E ;100;actif
;JEV-005v01;Je vis ta liberté;-;C. CHRISTENSEN / T. OSTRINI;Exo - Eclat 1;;C ;77;actif
;JEV-006v01;Je veux proclamer;-;Se?bastien CORN / Ste?phane HOAREAU;Impact - Sola Gratia;;Bm ;94;actif
;JEV-006v02;Je veux proclamer;-;Se?bastien CORN / Ste?phane HOAREAU;Impact - Sola Gratia;;Bm ;94;actif
;LAI-001v01;Laissons le faire;;Pascal FERRARO;Josué ADELE;;F ;68;actif
;LAI-002v01;Laissons entrer;;Dan LUITEN;Jean Micaël Pottier;;G ;130;actif
;LAT-001v02;La Terre entière;All the earth;Paul BALOCHE;;;E ;130;actif
;LES-001v01;Les bontés du Seigneur;-;Nicolas TERNISIEN;;;A ;174;actif
;LES-001v02;Les bontés du Seigneur;-;Nicolas TERNISIEN;;;F ;174;actif
;LES-001v04;Les bontés du Seigneur;-;Nicolas TERNISIEN;Le même que v02 mais en G;;G ;174;actif
;LET-001v04;L'Eternel est bon;For the Lord is good;Billy FUNK;Ron KENOLY - Sing Out!;;E ;107;actif
;LOU-001v02;Louez l'Eternel;-;Luc DUMONT;;;Bm ;116;actif
;MAF-001v02;Ma force c'est toi;-;Daniel PIALAT;Daniel PIALAT;;A;;actif
;MAJ-001v01;Majesté;Majesty (Here I am);Martin SMITH;;;Gm-Bb ;71;actif
;MAJ-001v02;Majesté;Majesty (Here I am);Martin SMITH;;;Gm-Bb ;71;actif
;MAJ-002v01;Majesté;-;Dan LUITEN;;;A;;actif
;MAJ-003v01;Majesté;Majesty;Jack HAYFORD;Majesty - Ron KENOLY;;A ;72;actif
;MAJ-003v02;Majesté;Majesty;Jack HAYFORD;IDEM - Flûte + Violons;;A ;72;actif
;MER-001v01;Merci pour ta Parole;;Mady RAMOS;Josué ADELE;;Bb ;93;actif
;MER-002v01;Merci pour la croix;;Graham KENDRICK;Guillaume;;Bb ;66;actif
;MER-003v01;Merveilleux;Beautiful;Samuel Lane;Vineyard Songs;;E ;112;actif
;MER-003v02;Merveilleux;Beautiful;Samuel Lane;Vineyard Songs;;A ;112;actif
;MER-004v01;Merci d'un coeur reconnaissant;Give Thanks;Henry SMITH;Don MOEN;;E ;84;actif
;MEV-001v03;Me voici prosterné;I will come and bow down;Martin J. NYSTROM;Ron KENOLY - Sing Out!;;C ;72;actif
;MIN-001v01;Minuit chrétien;;P. CAPPEAU / A. ADAM;C. TOMLIN - Glory in the highest...;;Bb ;54;actif
;MON-001v01;Mon désir;My desir;Kirk FRANKLIN;;;Dm ;100;actif
;MON-001v01;Mon rédempteur vit;My redeemer lives;;;;E ;130;actif
;MON-002v01;Mon sauveur vit;;Jon Egan / Glenn Packiam;;;;;actif
;NIP-001v01;Ni par puissance;Not by power;J. Chisum / G. Sadler;;;Bm ;105;actif
;NOT-001v02;Notre Père;;Exo;Exo 3 / N°1;;D ;97;actif
;NOU-003v01;Nous venons dans ta présence;You're the father of creation;Robert EASTWOOD;;;E ;76;actif
;NOU-004v01;Nous te couronnons;;Marcos WITT;Josué ADELE;;G ;100;actif
;NOU-006v01;Nous voulons voir;;Doug HORLEY;Josué ADELE;;G ;155;actif
